"","asin","product_name","sku","price_cleaning","native_price","discount_percentage","date","X..i.."
"1","B006JYFNUI","Imetec Acqua Bottiglia di Ricambio per Imetec Acqua Bubbles BLS 100 - BLS 110","0","18.44","0","0","1665678034.70369",NA
"2","B00TDNGW3Y","Imetec Acqua The Bottle BT 300 Bottiglia di Ricambio per Imetec Acqua The Bottle FB 110 e FB 100","0","15","0","0","1665678056.39793",NA
"3","B008DREKCQ","Imetec H2O Flux Technology, 3 Cartucce Filtranti per Prodotti Acqua, Ricambi Originali","0","20.1","0","0","1665678078.72477",NA
"4","B008DREU30","Imetec Acqua WP120 Caraffa Filtrante con 3 Filtri FC100 Inclusi","0","20.1","0","0","1665678100.66791",NA
"5","B00GAY1TYG","Imetec Acqua The Bottle FB 100 Bottiglia Filtrante","0","36.9","0","0","1665678122.67231",NA
"6","B00GM9FVRU","Imetec Acqua The Bottle FB 120 Bottiglia Filtrante, Family Pack","0","15","0","0","1665678145.30591",NA
"7","B006JNA2OG","Imetec BLS100 Gasatore d'Acqua con 3 Livelli di Gasatura, Bottiglia con Tappo di Chiusura da 1 Litro, Cilindro per Gasare Fino a 80 Litri Incluso, Nero, Ceramica, 0","0",NA,"0","0","1665678167.15909",NA
"8","B0069ORHTS","Imetec 7744J BLS110 Gasatore d'Acqua con 3 Livelli di Gasatura, Bottiglia con Tappo di Chiusura da 1 Litro, Cilindro per Gasare Fino a 80 Litri Incluso, Nero, Arancione","0",NA,"0","0","1665678188.96177",NA
"9","B006JN451C","Imetec 7730 Cilindro Universale per Gasatori Domestici, Co2 Proveniente da Fonti Naturali, Gasa Fino a 80 Litri di Acqua, Blue","0","36.87","0","0","1665678211.05055",NA
"10","B00XMY1XVQ","IMETEC The Drinking Station WS100 Apparecchio per la Depurazione e la Gasatura Rubinetto, 120 l Depurata e Fino a 80 l di Acqua Gasata, Plastic","0","20.1","0","0","1665678233.13567",NA
"11","B00MHUG8LG","Imetec Acqua The Bottle FB 100 Bottiglia Filtrante","0","36.9","0","0","1665678255.10628",NA
"12","B007X31N7Q","Imetec Bellissima Magic Style PB1 45 Spazzola Professionale Riscaldata","0","49.85","0","0","1665678277.26405",NA
"13","B007YH05SO","Imetec Bellissima Magic Style PB1 30 Spazzola Professionale Riscaldata","0",NA,"0","0","1665678299.38174",NA
"14","B00G3NJTWS","Imetec Bellissima Magic Style PB4 30 Spazzola Professionale Riscaldata, Diametro 30 mm, Rivestimento in Ceramica, Regolazione della Temperatura, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0","49.85","0","0","1665678321.79388",NA
"15","B00G3NJSC4","Imetec Bellissima Magic Style PB4 38 Spazzola Professionale Riscaldata, Diametro 38 mm, Rivestimento in Ceramica, Regolazione della Temperatura, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0","45.2","0","0","1665678344.10712",NA
"16","B00EFP7L3K","Imetec Bellissima Magic Style PB1 25 Spazzola Professionale Riscaldata, Diametro 25 mm, Rivestimento in Ceramica, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0","45.2","0","0","1665678366.08229",NA
"17","B00FGRYLHA","Imetec Bellissima Magic Style PB1 30 Spazzola Professionale Riscaldata, Diametro 30 mm, Rivestimento in Ceramica, Regolazione della Temperatura, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0","45.2","0","0","1665678388.09965",NA
"18","B00M0K1VYM","Imetec Bellissima Magic Style PB1 38 Spazzola Professionale Riscaldata, Diametro 38 mm, Rivestimento in Ceramica, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0","45.2","0","0","1665678410.25151",NA
"19","B00FXBCNP6","Imetec Bellissima Magic Style PB1 45 Spazzola Professionale Riscaldata, Diametro 45 mm, Rivestimento in Ceramica, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0","45.2","0","0","1665678431.95312",NA
"20","B00DZK6CJK","Imetec Bellissima Magic Style PB2 25 Spazzola Professionale Riscaldata, Diametro 25 mm, Rivestimento in Gloss Titanium Ceramic, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0","49.85","0","0","1665678454.25564",NA
"21","B00FHQJ44U","Imetec Bellissima Magic Style PB2 30 Spazzola Professionale Riscaldata, Diametro 30 mm, Rivestimento in Ceramica, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1665678476.08959",NA
"22","B00FHQJ0TE","Imetec Bellissima Magic Style PB2 38 Spazzola Professionale Riscaldata, Diametro 38 mm, Rivestimento in Gloss Titanium Ceramic, Tecnologia a Ioni, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0","29.12","0","0","1665678498.34894",NA
"23","B00FR5XS8Y","Imetec Bellissima Magic Style PB2 45 Spazzola Professionale Riscaldata, Diametro 45 mm, Rivestimento in Gloss Titanium Ceramic, Tecnologia a Ioni, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0","33.99","0","0","1665678523.71029",NA
"24","B002YY6M0C","Imetec Bellissima Mini MC210 Piastra per Capelli","0","26.39","0","0","1665678545.21051",NA
"25","B013GDSCRK","Bellissima Imetec BHS3 100 Revolution, Arricciacapelli Automatico, Rivestimento in Ceramica, Viola Nero","0","54.13","0","0","1665678568.16672",NA
"26","B00NTYWDNQ","Bellissima Imetec Revolution BHD1 1000 Asciugacapelli Professionale, 1400 W, con Prestazioni da 2000 W, Tecnologia a Ioni, Sistema Eco Efficiency, 8 Combinazioni Aria/Temperatura","0","35.98","0","0","1665678590.50581",NA
"27","B0089LSRZW","Imetec Bellissima Magic Style PB2 30, Spazzola Professionale Riscaldata, Rivestimento in Gloss Titanium Ceramic, Tecnologia agli Ioni, Diametro 30 mm","0","27.5","0","0","1665678612.53039",NA
"28","B004ASNGKE","Imetec Bellissima Absolute BA 230 Piastra per Capelli con Ttecnologia a Infrarossi, Capelli Liscio Duraturo, Thermo Control, Display LCD, Custodia Termoprotettiva Inclusa","0","62.99","0","0","1665678634.36425",NA
"29","B00CEH0LTW","Imetec Travel Ct1 2000 Asciugacapelli Da Viaggio, 1400 W, Doppio Voltaggio, Nero Grigio","0","18.99","0","0","1665678656.66255",NA
