"","asin","product_name","sku","price_cleaning","native_price","discount_percentage","date","X..i.."
"1","B006JYFNUI","Imetec Acqua Bottiglia di Ricambio per Imetec Acqua Bubbles BLS 100 - BLS 110","0",NA,"0","0","1670202307.08344",NA
"2","B00TDNGW3Y","Imetec Acqua The Bottle BT 300 Bottiglia di Ricambio per Imetec Acqua The Bottle FB 110 e FB 100","0","15","0","0","1670202329.84802",NA
"3","B008DREKCQ","Imetec H2O Flux Technology, 3 Cartucce Filtranti per Prodotti Acqua, Ricambi Originali","0","20.1","0","0","1670202352.32248",NA
"4","B008DREU30","Imetec Acqua WP120 Caraffa Filtrante con 3 Filtri FC100 Inclusi","0",NA,"0","0","1670202374.31668",NA
"5","B00GAY1TYG","Imetec Acqua The Bottle FB 100 Bottiglia Filtrante","0",NA,"0","0","1670202396.2489",NA
"6","B00GM9FVRU","Imetec Acqua The Bottle FB 120 Bottiglia Filtrante, Family Pack","0",NA,"0","0","1670202418.09318",NA
"7","B006JNA2OG","Imetec BLS100 Gasatore d'Acqua con 3 Livelli di Gasatura, Bottiglia con Tappo di Chiusura da 1 Litro, Cilindro per Gasare Fino a 80 Litri Incluso, Nero, Ceramica, 0","0",NA,"0","0","1670202440.10361",NA
"8","B0069ORHTS","Imetec 7744J BLS110 Gasatore d'Acqua con 3 Livelli di Gasatura, Bottiglia con Tappo di Chiusura da 1 Litro, Cilindro per Gasare Fino a 80 Litri Incluso, Nero, Arancione","0",NA,"0","0","1670202461.77929",NA
"9","B006JN451C","Imetec 7730 Cilindro Universale per Gasatori Domestici, Co2 Proveniente da Fonti Naturali, Gasa Fino a 80 Litri di Acqua, Blue","0","34.89","0","0","1670202483.82932",NA
"10","B00XMY1XVQ","IMETEC The Drinking Station WS100 Apparecchio per la Depurazione e la Gasatura Rubinetto, 120 l Depurata e Fino a 80 l di Acqua Gasata, Plastic","0",NA,"0","0","1670202506.35631",NA
"11","B00MHUG8LG","Imetec Acqua The Bottle FB 100 Bottiglia Filtrante","0",NA,"0","0","1670202528.38164",NA
"12","B007X31N7Q","Imetec Bellissima Magic Style PB1 45 Spazzola Professionale Riscaldata","0",NA,"0","0","1670202550.34906",NA
"13","B007YH05SO","Imetec Bellissima Magic Style PB1 30 Spazzola Professionale Riscaldata","0",NA,"0","0","1670202572.35214",NA
"14","B00G3NJTWS","Imetec Bellissima Magic Style PB4 30 Spazzola Professionale Riscaldata, Diametro 30 mm, Rivestimento in Ceramica, Regolazione della Temperatura, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1670202594.36575",NA
"15","B00G3NJSC4","Imetec Bellissima Magic Style PB4 38 Spazzola Professionale Riscaldata, Diametro 38 mm, Rivestimento in Ceramica, Regolazione della Temperatura, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1670202616.44524",NA
"16","B00EFP7L3K","Imetec Bellissima Magic Style PB1 25 Spazzola Professionale Riscaldata, Diametro 25 mm, Rivestimento in Ceramica, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1670202638.6297",NA
"17","B00FGRYLHA","Imetec Bellissima Magic Style PB1 30 Spazzola Professionale Riscaldata, Diametro 30 mm, Rivestimento in Ceramica, Regolazione della Temperatura, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1670202660.98286",NA
"18","B00M0K1VYM","Imetec Bellissima Magic Style PB1 38 Spazzola Professionale Riscaldata, Diametro 38 mm, Rivestimento in Ceramica, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0","42.85","0","0","1670202683.4158",NA
"19","B00FXBCNP6","Imetec Bellissima Magic Style PB1 45 Spazzola Professionale Riscaldata, Diametro 45 mm, Rivestimento in Ceramica, Sistema Anti Efetto Crespo, Guida Styling Inclusa","0",NA,"0","0","1670202705.32384",NA
